pub_date	title	authors	venue	excerpt	citation	url_slug	paper_url
11/1/18	The limited capacity model of motivated mediated message processing: taking stock of the past	"Fisher, J. T., Keene, J. R., Huskey, R., & Weber, R. "	Annals of the International Communication Association	"In the 15 years since its inception, the Limited Capacity Model of Motivated Mediated Message Processing (LC4MP) has contributed to understanding regarding the dynamics of message processing in a variety of domains. In this manuscript we outline the foundations and assumptions of the LC4MP, discussing salient research from biology, cognitive psychology, and communication upon which the model is built. We then conduct a systematic review of the LC4MP literature with a focus on three primary domains: cognitive load, motivated processing, and memory. In a companion piece (Fisher, Huskey, Keene, & Weber, 2018) we look to the future of the model, incorporating recent findings from communication and cognate fields to inform an updated suite of predictions."	"Fisher, J. T., Keene, J. R., Huskey, R., & Weber, R. (2018). The limited capacity model of motivated mediated message processing: taking stock of the past. Annals of the International Communication Association, 42(4), 270-290"	LC4MP1	https://www.tandfonline.com/doi/full/10.1080/23808985.2018.1534552
11/1/18	The limited capacity model of motivated mediated message processing: looking to the future	"Fisher, J. T., Huskey, R., Keene, J. R., & Weber, R. "	Annals of the International Communication Association	"In a companion piece (Fisher, Keene, Huskey, & Weber, 2018), we reviewed the foundations and current state of the Limited Capacity Model of Motivated Mediated Message Processing (LC4MP). In this manuscript we return to the three areas investigated in our review: cognitive load, motivation, and memory. In each domain, we: (a) outline areas in which the LC4MP has produced unexpected or ambiguous findings; (b) look broadly at literature from biology, cognitive psychology, and neuroscience to inform and clarify definitions of key terms; (c) develop an updated, cohesive framework of assumptions and predictions of the LC4MP; and (d) propose a roadmap for testing the proposed framework. We conclude with a discussion of the LC4MP's continued relevance for understanding dynamic, interactive, multimodal communication phenomena."	"Fisher, J. T., Keene, J. R., Huskey, R., & Weber, R. (2018). The limited capacity model of motivated mediated message processing: looking to the future. Annals of the International Communication Association, 42(4), 291-315"	LC4MP2	https://www.tandfonline.com/doi/full/10.1080/23808985.2018.1534551
10/1/09	Sports commentators and source credibility: Do those who can’t play…commentate? 	"Keene, J. R., & Cummins, R. G."	Journal of Sports Media	"Although research has examined how commentators shape perceptions of mediated sports, the area of commentator credibility remains unexplored. Using an experimental design, this study examined the effects of commentators’ previous athletic experience on the perceived credibility of sports broadcasters and viewers’ evaluations of game play. Results showed that experience impacts viewers’ perceptions of credibility such that commentators without experience were viewed as least credible and their games were rated as less exciting and enjoyable."	"Keene, J. R., & Cummins, R. G. (2009). Sports commentators and source credibility: Do those who can’t play…commentate? Journal of Sports Media, 4(1), 57-83. DOI: 10.1353/jsm.0.0042."	CommCred	https://muse.jhu.edu/article/270662/summary?casa_token=AvdqoTBjfPAAAAAA:W4oeqY4j4gbEnOfEH4KHNR9f7AyOZIEA6TsSwwL0nQxCqulcKoOYFad0mVn9kWtl9m0fp1xk6Qk
1/5/12	The impact of subjective camera in sports on arousal and enjoyment. 	"Cummins, R. G., Keene, J. R., & Nutting. B. H."	Mass Communication & Society	"Although scholars have generated much research examining enjoyment of mediated sports, much of it has failed to explore how visual production elements shape viewer response. This study examines the impact of one increasingly common technique, subjective camera, on viewer arousal and enjoyment of game play. Participants viewed multiple plays from a college football game that varied in excitatory potential as well as viewing angle. Game play viewed via subjective camera elicited a greater sense of presence in the mediated environment and elicited more frequent arousal responses compared to traditional sideline perspectives of game play. However, the impact of viewing angle on enjoyment as well as self-reported arousal was dependent upon the exciting or dull nature of game play. Invoking the dynamics of excitation transfer theory, we discuss the potential explanations for this relationship as well as its implications for sports broadcasters."	"Cummins, R. G., Keene, J. R., & Nutting, B. (2012). The impact of subjective camera in sports on arousal and enjoyment. Mass Communication and Society, 15, 74-97. DOI: 10.1080/15205436.2011.558805."	SkyCamPhys	https://www.tandfonline.com/doi/abs/10.1080/15205436.2011.558805?casa_token=dHUE9eSx0bIAAAAA:xKBR5gIvYZCJAMt4ED8kVh_JUHeGaktrRWvNmlTYyyYvhKkqHPvNlXSay-7U-5vRybXnjP3kc5Zm4Q
9/1/12	The effect of sports fan identification on the cognitive processing of sports news. 	"Potter, R. F., & Keene, J. R."	International Journal of Sport Communication	"An experiment investigates the impact of fan identification on the cognitive and emotional processing of sports-related news media. Two coaches were featured; one conceptualized as negatively valenced the other positively. Participants completed a fan identification scale before stimuli presentation. While watching the press conferences, heart rate, skin conductance, and corrugator muscle activity were recorded as indices of cognitive resource allocation, emotional arousal, and aversive motivation activation respectively. Self-report measures were collected after each stimulus. Results show that highly identified fans process sports-related news content differently than moderate fans, allocating more cognitive resources and exhibiting greater aversive reactions to the negatively valenced coach. Comparisons between the self-report and psychophysiology data suggest that the latter may be less susceptible to social desirability response bias when emotional reaction to sports messages are concerned."	"Potter, R. F., & Keene, J. R. (2012). The effect of sports fan identification on the cognitive processing of sports news. International Journal of Sport Communication, 5, 348-367. DOI:10.1123/ijsc.5.3.348."	BetrayedFans	https://journals.humankinetics.com/doi/abs/10.1123/ijsc.5.3.348
6/22/16	Dynamic motivated processing of emotional trajectories in public service announcements	"Keene, J. R., & Lang, A."	Communication Monographs	"This manuscript, based upon previous work related to the dynamic processing of emotional trajectories, investigated how variable trajectories of emotional content can elicit motivational activation over time. Specifically, five emotional trajectories were examined: pleasant, unpleasant, pleasant and unpleasant simultaneously, pleasant leading to unpleasant, and unpleasant leading to pleasant. The resources available for encoding were indexed via secondary task reaction times, and memory was assessed via audio and video recognition. The results indicated that audio recognition improves as activation increases in the appetitive system while visual recognition improves as activation in the aversive system increases. The implications of these results are discussed in terms of communication theory and practice."	"Keene, J. R., & Lang, A. (2016). Dynamic motivated processing of emotional trajectories in public service announcements. Communication Monographs. 83(4), 468-485. DOI:10.1080/03637751.2016.1198040."	PoignantSTRT	https://nca.tandfonline.com/doi/abs/10.1080/03637751.2016.1198040?casa_token=7yP5FMICxFwAAAAA:PJSaK3eFQNFjN5BmeI09_JRxMEEUfyh30WMzzhtNpoM288fTdIjLJkRQa0-vM38S4HWj4EDBgNhA3A#.XCaNEy2ZPBI
9/1/16	Explaining parental coviewing: The role of social facilitation and arousal. 	"Rasmussen, E. E., Keene, J. R., Berke, C. K., Densley, R. L., & Loof, T."	Communication Monographs	"This study explores the relationship between parental coviewing and children’s psychophysiological responses to television exposure within a framework of social facilitation. A total of 88 children aged 6–13 years and one of each of their parents participated in a 2 (presence or absence of the parent)___2 (exciting or non-exciting TV content) between-subjects experiment. Results indicated that the presence of a coviewing parent was associated with an increase in children’s arousal (higher skin conductance levels) and cognitive resource allocation (lower heart rate), especially for younger children who came from homes where parental coviewing was a relatively frequent activity. These findings suggest that the mere presence of a coviewing parent is sufficient to alter children’s processing of television messages."	"Rasmussen, E. E., Keene, J. R., *Berke, C. K., *Densley, R. L., & *Loof, T. (2017). Explaining parental coviewing: The role of social facilitation and arousal. Communication Monographs, 84(3), 365-384. DOI:10.1080/03637751.2016.1259532. "	CoviewingPhys	https://www.tandfonline.com/doi/abs/10.1080/03637751.2016.1259532?casa_token=d4-KU45giTkAAAAA:3ady3BQ5HsayLfkfmQtHqFNnESxR52Yz4d96JiIwi5y4vyuqLiNhxnSgqxtF0vh7uBINxJ3fQJkfMw
3/1/17	In the game or in the stands: A top-down and bottom-up approach to the processing and experience of sport communication. 	"Keene, J. R., Berke, C. K., & Nutting, B. H."	International Journal of Sport Communication	"This study, based on previous work, investigated the interaction of camera angle, arousing content, and an individual’s general and school-specific fanship on the cognitive processing of and emotional reactions to sport communication from a top-down and bottom-up perspective. Cognitive processing was defined as the resources available for encoding and was indexed using secondary-task reaction times, and self-reported positivity, negativity, and arousal were also measured as an index of emotional reactions. Results indicate that general and school-specific fanship have differential effects on cognitive processing and emotional reactions. In addition, in a replication of previous work, it would appear that different camera angles do not have different effects on cognitive processing. The implications of the top-down and bottom-up approach for the sport communication experience are discussed for both sport researchers and sport communication practitioners."	"Keene, J. R., *Berke, C. K., & Nutting, B. H. (2017). In the game or in the stands: A top-down and bottom-up approach to the processing and experience of sport communication. International Journal of Sport Communication, 10(1), 85-104, DOI:10.1123/ijsc.2016-0094"	SkyCamSTRT	https://journals.humankinetics.com/doi/abs/10.1123/ijsc.2016-0094
6/29/17	On the use of Beats-Per-Minute and Inter-Beat Interval in the analysis of cardiac responses to mediated messages. 	"Keene, J. R., Clayton, R., Berke, C. K., Loof, T., & Bolls, P. D."	Communication Research Reports	"The measurement of an individual’s heart rate has many relevant theoretical implications for communication research. However, there are reasons to believe that the most common way of reporting cardiac response—beats per minute (BPM)—might not be appropriate for all methodological situations. This article presents an overview of the historical use of cardiac activity within communication research, and provides a summary of the current conceptualizations of attention and resource allocation. To fully understand the difference between BPM and interbeat interval (IBI)—an alternate method for reporting cardiac response—a comparative analysis was performed on a data set from a previously published study. This article concludes with a set of suggestions that researchers may want to consider when utilizing BPM or IBI within communication research."	"Keene, J. R., Clayton, R., *Berke, C. K., *Loof, T., & Bolls, P. D. (2017). On the use of Beats-Per-Minute and Inter-Beat Interval in the analysis of cardiac responses to mediated messages. Communication Research Reports, 34(3), 265-274, DOI:10.1080/08824096.2017.1334640"	BPMvsIBI	https://www.tandfonline.com/doi/abs/10.1080/08824096.2017.1334640?casa_token=gnGTvWJ-9JAAAAAA:1Hzj2d4wHDQxteRDmvFb9Bh7MxnXcQbRE_N5Pejfbup9wvlnA8HpadvgMo_BEqrRBCahI3MunH61uw
8/26/17	Biopsychological Model of Anti-Drug PSA Processing: Developing Effective Persuasive Messages. 	"Hohman, Z. P., Keene, J. R., Harris, B. N., Niedbala, E., & Berke, C. K."	Prevention Science	"For the current study, we developed and tested a biopsychological model to combine research on psychological tension, the Limited Capacity Model of Motivated Mediated Message Processing, and the endocrine system to predict and understand how people process anti-drug PSAs. We predicted that co-presentation of pleasant and unpleasant information, vs. solely pleasant or unpleasant, will trigger evaluative tension about the target behavior in persuasive messages and result in a biological response (increase in cortisol, alpha amylase, and heart rate). In experiment 1, we assessed the impact of co-presentation of pleasant and unpleasant information in persuasive messages on evaluative tension (conceptualized as attitude ambivalence), in experiment 2, we explored the impact of co-presentation on endocrine system responses (salivary cortisol and alpha amylase), and in experiment 3, we assessed the impact of co-presentation on heart rate. Across all experiments, we demonstrated that co-presentation of pleasant and unpleasant information, vs. solely pleasant or unpleasant, in persuasive communications leads to increases in attitude ambivalence, salivary cortisol, salivary alpha amylase, and heart rate. Taken together, the results support the initial paths of our biopsychological model of persuasive message processing and indicate that including both pleasant and unpleasant information in a message impacts the viewer. We predict that increases in evaluative tension and biological responses will aid in memory and cognitive processing of the message. However, future research is needed to test that hypothesis."	"Hohman, Z. P., Keene, J. R., Harris, B. N., *Niedbala, E., & *Berke, C. K. (2017). A Biopsychological Model of Anti-Drug PSA Processing: Developing Effective Persuasive Messages. Prevention Science, DOI:10.1007/s11121-017-0836-7"	NUPMPhys	https://link.springer.com/article/10.1007/s11121-017-0836-7
